House_ID,Neighborhood,Square_Feet,Bedrooms,Bathrooms,Year_Built,Year_Renovated,Condition,Sold_Price,Effective_Age,Neighborhood_Tier
H-1943,Maplewood,2513,2,2,1990,2017,5,562593.4301043968,9,3
H-0347,Golden Ridge,1844,2,4,2000,2018,1,576673.7055894478,8,5
H-1948,Sunny Valley,2401,4,2,2004,2024,4,636464.5781437055,2,4
H-1163,Maplewood,2432,3,1,1994,2000,6,478609.2912809814,26,3
H-0063,Golden Ridge,1887,3,2,1997,2017,10,537027.5408066149,9,5
H-0104,Swamp Bottom,3371,6,3,2008,2010,3,622459.9173845015,16,1
H-1656,Maplewood,1704,5,1,2023,2024,8,450820.26701636246,2,3
H-1120,Swamp Bottom,1707,2,4,1993,2014,6,227289.4451820152,12,1
H-0819,Sunny Valley,1924,6,4,1972,2010,6,568153.2110540313,16,4
H-1446,Maplewood,1040,2,3,2005,2010,4,248394.20778096656,16,3
H-1362,Maplewood,2085,3,3,2017,2023,2,434385.2859920662,3,3
H-0199,Swamp Bottom,493,7,1,1999,2024,3,103286.37104572928,2,1
H-0601,Sunny Valley,1402,4,2,1988,2020,1,391156.09367472446,6,4
H-1673,Swamp Bottom,2340,7,4,1986,1992,10,330434.3607257549,34,1
H-1451,Maplewood,2252,3,2,1971,1997,9,501498.9766376398,29,3
H-1613,Sunny Valley,2792,7,4,1995,2009,1,724711.60085348,17,4
H-1173,Sunny Valley,2795,7,2,2011,2015,6,803036.7445395548,11,4
H-0287,Maplewood,1276,4,1,2005,2014,9,366042.5142302603,12,3
H-0464,Industrial District,1625,2,2,2009,2019,8,288985.7190216975,7,2
H-1511,Maplewood,1522,3,4,1994,2006,5,339718.53484233434,20,3
H-1121,Industrial District,2221,2,3,1990,2020,6,381768.404138232,6,2
H-1360,Industrial District,1758,3,2,2003,2017,1,340313.5878526798,9,2
H-0064,Golden Ridge,1605,5,4,1978,2016,10,540926.443446514,10,5
H-0194,Swamp Bottom,2504,2,3,1965,1996,5,617100.4213299277,30,1
H-0171,Swamp Bottom,560,4,2,2001,2003,3,302652.767950222,23,1
H-0378,Swamp Bottom,1059,6,4,1984,1996,3,153839.69411974723,30,1
H-0988,Sunny Valley,1144,2,2,2014,2024,3,286288.10621237976,2,4
H-1188,Sunny Valley,1137,2,2,1991,2016,6,317674.46327220026,10,4
H-0075,Golden Ridge,588,3,4,1974,2003,3,225882.78728537037,23,5
H-0325,Maplewood,1150,5,4,2015,2023,5,313818.9336759563,3,3
H-0283,Golden Ridge,2313,4,2,2019,2022,10,885829.4433117888,4,5
H-1655,Industrial District,1579,6,2,1991,1996,8,375784.8545797621,30,2
H-1475,Maplewood,3107,3,2,1997,2008,8,699089.3298716258,18,3
H-1094,Sunny Valley,2080,2,2,1998,2015,5,494959.80249141983,11,4
H-0881,Maplewood,2310,7,3,1971,2000,8,620871.3767452821,26,3
H-1169,Sunny Valley,2371,7,1,1965,1993,8,704033.7584219434,33,4
H-1634,Industrial District,2736,4,3,2007,2022,7,489714.5522558919,4,2
H-1927,Maplewood,1671,4,1,1966,1997,10,476277.9781111653,29,3
H-0594,Swamp Bottom,2470,5,2,1976,2010,4,226485.5,16,1
H-1702,Sunny Valley,2290,2,3,1997,2007,7,600355.5386552545,19,4
H-1364,Maplewood,1853,4,4,1981,2013,6,458804.99678567087,13,3
H-1319,Golden Ridge,1232,2,2,1996,2022,5,469455.02738474775,4,5
H-0527,Sunny Valley,2199,4,4,2003,2023,7,570890.66,3,4
H-0412,Industrial District,2387,5,2,1991,2024,6,452871.3395222522,2,2
H-0439,Golden Ridge,1603,4,4,1990,2017,3,583496.7825198009,9,5
H-0592,Sunny Valley,1788,2,4,2009,2021,5,545724.76,5,4
H-0701,Golden Ridge,2318,3,3,2002,2012,10,868538.6973561607,14,5
H-0878,Golden Ridge,2770,2,4,2008,2012,6,947456.7398095158,14,5
H-0536,Swamp Bottom,3510,5,4,2014,2017,9,263199.03,9,1
H-0490,Maplewood,3203,2,4,1960,1996,4,629578.0089767418,30,3
H-0448,Sunny Valley,3018,2,2,1968,1998,1,702571.039848208,28,4
H-1280,Maplewood,2400,5,2,2010,2018,10,588550.5794489181,8,3
H-0565,Maplewood,3172,6,2,2014,2015,4,443262.65,11,3
H-1801,Maplewood,2069,5,3,1962,2018,7,497524.3059188568,8,3
H-1151,Swamp Bottom,1339,2,2,2011,2024,6,151404.4803769121,2,1
H-1082,Sunny Valley,1172,5,3,2021,2024,8,390494.77465178905,2,4
H-1252,Golden Ridge,2703,4,2,1985,2024,7,937503.9528206382,2,5
H-0768,Sunny Valley,2579,5,1,1990,2020,7,722197.6501438352,6,4
H-0302,Maplewood,-61,5,3,1986,2007,8,142855.72184138882,19,3
H-1382,Industrial District,4024,6,3,1975,2022,3,701659.5123271709,4,2
H-1052,Industrial District,1517,5,1,1976,2013,5,334641.98979440384,13,2
H-0036,Golden Ridge,2212,3,3,2001,2019,3,574518.7089785413,7,5
H-0383,Swamp Bottom,1685,3,4,1990,2020,8,222874.83802760343,6,1
H-1980,Sunny Valley,1322,6,2,2015,2016,4,394800.5578297576,10,4
H-1096,Sunny Valley,1893,6,4,2003,2017,8,583641.5388331297,9,4
H-1356,Industrial District,1176,4,1,2011,2015,7,284325.83515993645,11,2
H-0147,Swamp Bottom,1406,5,1,1997,2022,1,316718.24059864896,4,1
H-0293,Sunny Valley,2856,7,3,1989,2013,8,811579.1124190041,13,4
H-0942,Maplewood,4232,2,4,2010,2024,9,901239.0335418148,2,3
H-0441,Industrial District,2962,5,2,1966,2009,9,510439.1283222726,17,2
H-1799,Golden Ridge,1933,4,4,2015,2020,2,630703.9979575789,6,5
H-0385,Swamp Bottom,1935,6,2,2008,2020,5,269455.840435662,6,1
H-1172,Maplewood,1443,7,2,1961,2010,2,394253.0047337243,16,3
H-1378,Sunny Valley,3532,2,1,1983,1997,6,882441.1834315625,29,4
H-0494,Maplewood,1736,3,1,1995,2020,7,416979.784624822,6,3
H-0141,Swamp Bottom,2360,6,1,1987,2011,1,656366.4618652066,15,1
H-0474,Maplewood,2482,4,3,1977,2013,4,570834.7398536393,13,3
H-1643,Maplewood,3235,3,4,1981,2021,6,632879.7977976819,5,3
H-0549,Swamp Bottom,2777,2,4,1990,1998,1,245156.9,28,1
H-1239,Sunny Valley,2258,3,3,1983,1999,1,569365.7934522205,27,4
H-1817,Swamp Bottom,2468,2,2,1983,2004,2,236556.27430419356,22,1
H-1629,Maplewood,2700,2,4,1998,2023,10,575749.665980716,3,3
H-0009,Golden Ridge,433,7,1,1992,2018,1,0.0,8,5
H-0078,Golden Ridge,1816,6,2,1983,2002,8,590949.2218728155,24,5
H-1162,Sunny Valley,2191,4,1,2006,2013,3,554661.0457646173,13,4
H-1785,Swamp Bottom,1937,7,4,1971,2005,2,231307.9457586405,21,1
H-1181,Sunny Valley,2667,7,3,1998,2006,7,781088.8404250861,20,4
H-1108,Maplewood,3085,5,4,1989,1990,4,710180.4908917487,36,3
H-1668,Golden Ridge,2186,2,1,1968,2010,5,724740.0000627255,16,5
H-1444,Swamp Bottom,2219,5,1,1995,2017,8,262150.2502090191,9,1
H-1538,Sunny Valley,1465,2,2,2008,2015,6,457150.7754476325,11,4
H-1694,Sunny Valley,2751,2,4,1961,2015,3,675751.2053695954,11,4
H-1585,Golden Ridge,1468,6,3,1998,2002,8,598072.5230626613,24,5
H-0337,Maplewood,1935,5,1,1966,2013,8,493995.9043140795,13,3
H-0455,Maplewood,2258,6,4,1986,1990,5,550517.4981887682,36,3
H-1279,Maplewood,2596,5,1,2000,2022,5,623834.6283311943,4,3
H-0843,Industrial District,2438,6,2,1961,2015,10,475913.1873699763,11,2
H-1186,Maplewood,1987,4,3,1971,2005,8,457182.6644830895,21,3
H-1654,Golden Ridge,2412,2,3,2008,2023,4,759910.201921496,3,5
H-1777,Sunny Valley,3672,6,2,1984,2024,2,925692.206458008,2,4
H-0896,Sunny Valley,2086,7,4,1974,2003,8,683578.91282924,23,4
H-1141,Sunny Valley,2335,2,1,1991,2019,2,585287.2784171831,7,4
H-0957,Golden Ridge,2729,6,1,2008,2017,10,1063688.368770097,9,5
H-1845,Sunny Valley,1776,2,2,1963,2019,9,456308.87550377,7,4
H-1224,Sunny Valley,1488,4,1,1969,2012,4,412223.15946356783,14,4
H-0666,Sunny Valley,4109,2,1,1989,1997,3,978460.265890819,29,4
H-0504,Maplewood,3207,3,2,1966,1997,5,430224.66,29,3
H-0047,Golden Ridge,2718,6,1,2000,2017,10,663244.8312376743,9,5
H-0823,Sunny Valley,801,2,4,1978,2014,4,269642.6581542788,12,4
H-1960,Golden Ridge,1224,6,3,1981,1997,1,513154.9117177788,29,5
H-1905,Sunny Valley,2979,2,3,1977,2020,8,764387.0435257008,6,4
H-0928,Maplewood,1901,2,1,1998,2021,9,431018.15722817846,5,3
H-0634,Golden Ridge,1869,7,1,2008,2020,4,727797.3396853036,6,5
H-1534,Sunny Valley,2420,4,4,2002,2012,10,654418.6310769344,14,4
H-0416,Sunny Valley,1773,2,2,1986,2024,3,412706.1666391197,2,4
H-1305,Swamp Bottom,1323,5,2,2006,2020,9,204220.3199539216,6,1
H-1370,Industrial District,1461,6,3,1960,2008,9,308518.4685658014,18,2
H-1241,Swamp Bottom,2482,6,3,1994,2017,6,262748.9765348854,9,1
H-0407,Golden Ridge,3433,7,2,1993,2005,9,1266631.024004822,21,5
