House_ID,Neighborhood,Square_Feet,Bedrooms,Bathrooms,Year_Built,Year_Renovated,Condition,Sold_Price
H-1943,Maplewood,2513,2,2,2017,1990,5,562593.4301043968
H-0347,Golden Ridge,1844 sqft,2,4,2018,2000,1,576673.7055894478
H-1948,Sunny Valley,2401,4,2,2004,2024,4,636464.5781437055
H-1163,Maplewood,"2,432",3,1,1994,2000,6,478609.2912809814
H-0063,Gilden Ridge,1887,3,2,1997,2017,10,537027.5408066149
H-0104,Swamp Botom,3371 sqft,6,3,2010,2008,3,622459.9173845015
H-1656,Maplewood,"1,704",5,1,2023,2024,8,450820.26701636246
H-1120,Swamp Bottom,1707,2,4,2014,1993,6,227289.4451820152
H-0819,Sunny Valley,1924,6,4,1972,2010,6,568153.2110540313
H-1446,Maplewood,1040 sqft,2,3,2010,2005,4,248394.20778096656
H-1362,Maplewood,2085,3,3,2017,2023,2,434385.2859920662
H-0199,Swamp Botom,493,7,1,1999,2024,3,103286.37104572929
H-0601,Sunny Valley,1402,4,2,1988,2020,1,391156.09367472446
H-1673,Swamp Bottom,2340,7,4,1986,1992,10,330434.3607257549
H-1451,Maplewood,2252 sqft,3,2,1971,1997,9,501498.9766376398
H-1613,Sunny Valley,2792,7,4,2009,1995,1,724711.60085348
H-1173,Sunny Valley,"2,795",7,2,2011,2015,6,803036.7445395548
H-0287,Maplewood,1276 sqft,4,1,2014,2005,9,366042.5142302603
H-0464,Industrial District,"1,625",2,2,2019,2009,8,288985.7190216975
H-1511,Maplewood,1522,3,4,1994,2006,5,339718.53484233434
H-1121,Industrial District,2221,2,3,2020,1990,6,381768.40413823194
H-1360,Industrial District,1758 sqft,3,2,2017,2003,1,340313.5878526798
H-0064,Gilden Ridge,1605,5,4,1978,2016,10,540926.443446514
H-0194,Swamp Botom,"2,504",2,3,1965,1996,5,617100.4213299277
H-0171,Swamp Botom,560,4,2,2003,2001,3,302652.767950222
H-0378,Swamp Bottom,"1,059",6,4,1984,1996,3,153839.69411974723
H-0988,Sunny Valley,1144,2,2,2024,2014,3,286288.10621237976
H-1188,Sunny Valley,"1,137",2,2,2016,1991,6,317674.46327220026
H-0075,Gilden Ridge,588,3,4,1974,2003,3,225882.78728537034
H-0325,Maplewood,1150,5,4,2015,2023,5,313818.9336759563
H-0283,Golden Ridge,2313 sqft,4,2,2019,2022,10,885829.4433117888
H-1655,Industrial District,"1,579",6,2,1991,1996,8,375784.8545797621
H-1475,Maplewood,3107,3,2,2008,1997,8,699089.3298716258
H-1094,Sunny Valley,2080 sqft,2,2,1998,2015,5,494959.80249141983
H-0881,Maplewood,2310 sqft,7,3,1971,2000,8,620871.3767452821
H-1169,Sunny Valley,"2,371",7,1,1965,1993,8,704033.7584219434
H-1634,Industrial District,2736,4,3,2022,2007,7,489714.5522558919
H-1927,Maplewood,1671,4,1,1966,1997,10,476277.9781111653
H-0594,Swamp Bottom,"2,470",5,2,1976,2010,4,
H-1702,Sunny Valley,"2,290",2,3,1997,2007,7,600355.5386552545
H-1364,Maplewood,1853,4,4,1981,2013,6,458804.99678567087
H-1319,Golden Ridge,1232,2,2,2022,1996,5,469455.02738474775
H-0527,Sunny Valley,2199 sqft,4,4,2003,2023,7,
H-0412,Industrial District,2387,5,2,2024,1991,6,452871.3395222522
H-0439,Golden Ridge,1603,4,4,2017,1990,3,583496.7825198009
H-0592,Sunny Valley,1788 sqft,2,4,2021,2009,5,
H-0701,Golden Ridge,2318,3,3,2012,2002,10,868538.6973561607
H-0878,Golden Ridge,2770 sqft,2,4,2012,2008,6,947456.7398095158
H-0536,Swamp Bottom,3510 sqft,5,4,2014,2017,9,
H-0490,Maplewood,3203 sqft,2,4,1960,1996,4,629578.0089767418
H-0448,Sunny Valley,3018,2,2,1968,1998,1,702571.039848208
H-1280,Maplewood,2400 sqft,5,2,2010,2018,10,588550.5794489181
H-0565,Maplewood,3172,6,2,2015,2014,4,
H-1801,Maplewood,2069,5,3,1962,2018,7,497524.30591885676
H-1151,Swamp Bottom,1339,2,2,2011,2024,6,151404.4803769121
H-1082,Sunny Valley,"1,172",5,3,2024,2021,8,390494.77465178905
